insect_id\insect_slug\insect_name\insect_a_1
0\blatta-orientalis\blatta orientalis\la 
1\blattella-germanica\blattella germanica\la 
2\cimex-lectularius\cimex lectularius\il 
3\pediculus-humanus capitis\pediculus humanus capitis\il 
4\sarcoptes-scabiei\sarcoptes scabiei\il 
5\musca-domestica\musca domestica\la 
6\aedes-aegypti\aedes aegypti\l'
7\culex-pipiens\culex pipiens\il 
8\vespula-vulgaris\vespula vulgaris\la 
9\apis-mellifera\apis mellifera\l'
10\formica-rufa\formica rufa\la 
11\tenebrio-molitor\tenebrio molitor\il 
12\galleria-mellonella\galleria mellonella\la 
13\lepisma-saccharina\lepisma saccharina\il 
14\forficula-auricularia\forficula auricularia\la 
