mold_id\mold_slug\mold_name\mold_a_1
0\aspergillus-fumigatus\Aspergillus fumigatus\l'
1\penicillium-chrysogenum\Penicillium chrysogenum\il 
2\cladosporium-herbarum\Cladosporium herbarum\il 
3\alternaria-alternata\Alternaria alternata\l'
4\eurotium-amstelodami\Eurotium amstelodami\l'
5\chaetomium-globosum\Chaetomium globosum\il 
6\stachybotrys-chartarum\Stachybotrys chartarum\lo 
7\fusarium-solani\Fusarium solani\il 
8\trichoderma-viride\Trichoderma viride\il 
9\ulocladium-atrum\Ulocladium atrum\l'
10\penicillium-expansum\Penicillium expansum\il 
11\aspergillus-niger\Aspergillus niger\l'
12\aspergillus-flavus\Aspergillus flavus\l'
13\penicillium-citrinum\Penicillium citrinum\il 
14\mucor-circinelloides\Mucor circinelloides\il 
15\rhizopus-oryzae\Rhizopus oryzae\il 
16\penicillium-glaucum\Penicillium glaucum\il 
